time,open,high,low,close,Volume
1709658000,65495.98,65497.31,63370.56,64413.63,6583.53507
1709659800,64413.63,65628.16,64202.26,65575.2,3237.88973
1709661600,65575.21,65575.21,64554.18,64590,2017.09814
1709663400,64590,64781.1,63677.96,63988.37,3138.30669
1709665200,63988.37,64244.49,62500,63243.86,5403.24068
1709667000,63243.87,63299.34,59005,61410.98,10330.32336
1709668800,61410.98,63158.52,61167.91,62746.19,7557.49849
1709670600,62746.19,62821.1,61441.54,61886.32,4485.95294
1709672400,61886.32,63958.31,61870,63958.31,4651.67585
1709674200,63958.3,63979.99,63028.59,63264.24,2901.49047
1709676000,63264.23,63574.26,62471.62,63155.69,2026.17964
1709677800,63155.68,63461.1,62752.69,63397.99,1177.03596
1709679600,63397.99,63788.58,63240.96,63757.22,1396.27627
1709681400,63757.21,64367.27,63626.85,63724.01,2027.59948
1709683200,63724.01,64109.15,63514.44,64021.1,1669.19661
1709685000,64021.11,64146.45,63390,63429.18,1397.03802
1709686800,63429.17,63780.06,63301.1,63301.1,1067.77963
1709688600,63301.1,63479.85,63088.25,63108.6,1200.33577
1709690400,63108.6,63500,62980.45,63152.3,944.31498
1709692200,63152.3,63461.1,62779.14,62795,1281.23445
1709694000,62795,63272.68,62785.97,63246,1005.73546
1709695800,63246,63373.14,63032,63263.21,930.252
1709697600,63263.22,63653.84,63263.21,63407.12,850.06202
1709699400,63407.12,64611.97,63372.61,64607.98,1818.29821
1709701200,64607.97,65862.77,64259.33,65759.64,3428.77232
1709703000,65759.64,66414.79,65571.42,66406.8,2740.00036
1709704800,66406.8,66524,65770.17,65893.2,2283.09322
1709706600,65893.2,66012.94,65711.22,65737.22,1084.36231
1709708400,65737.22,66326.59,65500,66076.92,1644.77159
1709710200,66076.92,66761.1,65935.02,66676.46,1358.80059
1709712000,66676.46,67641.1,66568.03,67325.48,3195.60251
1709713800,67325.47,67641.1,66677.01,66941.23,2247.36826
1709715600,66941.22,67361.1,66902.11,67009.81,1749.24288
1709717400,67009.8,67050,66041.63,66120.14,2034.75101
1709719200,66120.15,66715.76,66109.89,66435.4,1359.48936
1709721000,66435.4,66764.7,66370,66660.36,990.73373
1709722800,66660.36,67203.95,66397.01,67073.68,1343.03033
1709724600,67073.68,67323,66744,67301.31,1396.65937
1709726400,67301.31,67592.31,66735.24,66961.99,1827.10424
1709728200,66962,66977.28,64664.92,65929.5,4391.90329
1709730000,65929.5,66430.21,65316.19,66104.68,2976.24901
1709731800,66104.68,66639.06,65809.85,66327.48,1775.03447
1709733600,66327.47,67016.15,66322.75,66783.47,2409.84505
1709735400,66783.47,67219.77,65870,65896.75,3305.56355
1709737200,65896.76,66271.42,65280.99,66150,2848.47826
1709739000,66150,66680.91,66104.91,66481.12,1865.78637
1709740800,66481.12,66907.67,66430,66893.52,1262.52852
1709742600,66893.53,67120.04,66221.1,67086,1513.50802
1709744400,67086.01,67120,66722.42,66825.8,1128.10273
1709746200,66825.79,67347,66647.19,67324.84,1396.12359
1709748000,67324.84,67465,66931.1,67169,1418.96635
1709749800,67169,67214.76,66610,67084.18,1233.2013
1709751600,67084.18,67200,66777.86,67175,1165.37046
1709753400,67175.01,67230,66624.39,66739.48,1556.96122
1709755200,66739.49,67363.58,66661.1,66916.84,1571.38099
1709757000,66916.84,67198.99,66762.3,66888.24,1010.75118
1709758800,66888.23,66888.24,66400,66481.11,1263.78623
1709760600,66481.11,66592.45,66280,66417.72,806.11484
1709762400,66417.72,66478.05,66118.22,66460,744.21053
1709764200,66459.99,66482.54,65896.25,65916.53,610.23422
1709766000,65916.53,66256.34,65714.17,66063.2,977.33838
1709767800,66063.19,66176.07,65921.1,66074.04,659.38712
1709769600,66074.04,66250.06,65700.79,65819.99,983.89543
1709771400,65819.99,66249.38,65819.99,66198.31,815.4639
1709773200,66198.3,66241.1,65551,66119.99,1269.4573
1709775000,66119.99,66430,65810,66410,899.01302
1709776800,66409.99,66467.88,65891.54,65951.18,1278.28345
1709778600,65951.19,66177.75,65870,66101.1,909.35614
1709780400,66101.1,66374.7,66005.5,66233.7,661.69367
1709782200,66233.7,66293.3,65836.86,65847.29,931.84021
1709784000,65847.3,66140.75,65657.59,66138.37,791.30228
1709785800,66138.36,66164.75,65777,65843.57,639.06541
1709787600,65843.58,66123.06,65825.67,66041.6,722.00947
1709789400,66041.59,66051.42,65662.72,65800,970.78907
1709791200,65800,66192.4,65675.1,66125.4,1034.91064
1709793000,66125.39,66129.53,65802.89,65871.97,647.17366
1709794800,65871.98,66168.68,65781.1,66135.26,753.65324
1709796600,66135.27,66469.05,66014.31,66387.78,1120.20242
1709798400,66387.77,67014,66341.11,66782.26,1832.09842
1709800200,66782.26,66863.8,66560,66665.41,965.51753
1709802000,66665.4,66859.98,66594.44,66681.57,829.0583
1709803800,66681.57,66893.69,66523.14,66710.32,691.78643
1709805600,66710.33,66944.15,66634.74,66881.12,762.48088
1709807400,66881.11,66922,66639.06,66898.35,805.45712
1709809200,66898.35,67275.2,66456.27,66715.13,1888.7081
1709811000,66715.12,66905.35,66630,66905.34,787.55552
1709812800,66905.34,67113.9,66822,66836.77,1167.04733
1709814600,66836.76,66900,66575.52,66712.44,941.182
1709816400,66712.43,66881.03,66592.52,66881.02,768.26032
1709818200,66881.03,67010,66755.14,66905.69,963.93827
1709820000,66905.68,67307.05,66905.68,67249.59,1489.56914
1709821800,67249.59,67899,66541.1,67024.98,4792.38203
1709823600,67024.99,67350,66750,66921.09,1728.6459
1709825400,66921.09,67579.31,66905.5,67260.01,1754.44146
1709827200,67260.01,67466.07,67012,67298.43,1511.7367
1709829000,67298.43,67333.33,67052.49,67304.02,1073.43315
1709830800,67304.01,67980,67224.46,67834.64,2145.05404
1709832600,67834.64,67850.59,67406.96,67592.92,1377.52562
1709834400,67592.92,67708,67432.54,67621.1,880.88683
1709836200,67621.1,67770,67416.01,67601.21,840.07758
1709838000,67601.21,67848.48,67215.7,67333.53,968.46431
1709839800,67333.54,67566.84,67217.3,67498.02,750.26676
1709841600,67498.03,67859,67461.1,67836.47,972.78332
1709843400,67836.47,67914.74,67505,67537.67,1334.59498
1709845200,67537.67,67574.62,67061.1,67287.39,1518.41784
1709847000,67287.4,67373.15,67111,67239.67,748.24436
1709848800,67239.68,67481.1,67230.94,67375.76,558.10829
1709850600,67375.76,67375.76,66970.02,67102.18,535.48904
1709852400,67102.19,67167.67,66882.45,67054,662.89246
1709854200,67054.01,67100,66810.32,66823.17,585.67356
1709856000,66823.18,66963.6,66757,66869.7,849.18404
1709857800,66869.71,67107.49,66761.28,67072.65,721.94484
1709859600,67072.65,67256.18,66898.75,66980,981.48558
