time,open,high,low,close,Volume
1706306400,2259.86,2272,2258.01,2268.01,6966.3637
1706310000,2268.01,2270.27,2263.99,2267.68,7176.1758
1706313600,2267.67,2280.31,2265.23,2280.18,12034.2632
1706317200,2280.17,2282.94,2268.05,2270.57,8146.6136
1706320800,2270.56,2275.57,2270.16,2274.7,3842.2851
1706324400,2274.7,2276.84,2271.75,2274.13,4997.8401
1706328000,2274.13,2276.56,2273.13,2274.75,3264.3581
1706331600,2274.75,2274.75,2261.15,2263.79,6513.6076
1706335200,2263.8,2267.19,2262.85,2264.07,5266.5168
1706338800,2264.07,2266.66,2253.41,2258.45,8519.6205
1706342400,2258.45,2260.4,2251.4,2253.95,8354.319
1706346000,2253.95,2268.2,2251.58,2265.99,7889.1785
1706349600,2266,2271.49,2262.76,2263.23,4996.469
1706353200,2263.23,2270.65,2261.44,2265.48,5011.6685
1706356800,2265.48,2270.5,2262.13,2263.47,4739.4634
1706360400,2263.47,2268.96,2262.45,2267.79,4355.5318
1706364000,2267.8,2275.1,2267.35,2269.29,6474.2596
1706367600,2269.29,2274.38,2267.42,2270.18,4505.7496
1706371200,2270.18,2273.79,2262.99,2264.08,8071.0368
1706374800,2264.08,2267.63,2261.35,2265.65,3818.6412
1706378400,2265.65,2271.2,2263.43,2266.82,3878.8719
1706382000,2266.82,2277.49,2266.81,2272.69,4602.5145
1706385600,2272.7,2275.69,2270.12,2271.44,3815.9817
1706389200,2271.43,2275,2267.4,2272.73,7213.142
1706392800,2272.73,2273.34,2264.4,2266.46,7739.4231
1706396400,2266.45,2268.75,2261.47,2267.94,7058.028
1706400000,2267.94,2268.58,2263,2267.27,6472.4293
1706403600,2267.27,2288.88,2267.27,2278.83,14472.9416
1706407200,2278.82,2284.2,2276.31,2279.21,6167.5987
1706410800,2279.21,2289,2278.74,2287.17,6489.0722
1706414400,2287.17,2304.93,2284.8,2303.58,15008.4728
1706418000,2303.59,2308.24,2286.91,2290.81,11076.8594
1706421600,2290.8,2291.57,2283.49,2287.69,7447.6842
1706425200,2287.7,2293.59,2281.81,2282.92,8438.8
1706428800,2282.91,2291.01,2277.87,2286.05,8747.9967
1706432400,2286.05,2301.41,2284.57,2294.86,11464.9569
1706436000,2294.87,2295.99,2288.28,2293.52,7543.7098
1706439600,2293.51,2294.25,2276.97,2281.08,10706.7281
1706443200,2281.08,2282.33,2268.65,2276.78,11220.6925
1706446800,2276.78,2281.59,2271.3,2279.07,6059.012
1706450400,2279.06,2286.08,2263.65,2267.86,10493.153
1706454000,2267.86,2275.34,2261.91,2270.17,8814.4323
1706457600,2270.17,2276,2267.02,2274.45,4808.682
1706461200,2274.44,2274.45,2262.29,2269.27,7344.1531
1706464800,2269.28,2270.52,2257,2261.15,8480.4789
1706468400,2261.15,2266.18,2245.03,2253.89,10562.7093
1706472000,2253.88,2263.21,2249.21,2261.84,7072.7663
1706475600,2261.85,2266.41,2258.46,2263.5,3636.6178
1706479200,2263.5,2263.92,2239.89,2249.39,9519.5012
1706482800,2249.39,2259.99,2245.54,2256.9,7277.4606
1706486400,2256.9,2261.64,2250.57,2257.16,8368.3346
1706490000,2257.16,2274.23,2256.88,2264.45,9667.777
1706493600,2264.46,2271.51,2263.2,2268.77,5317.8364
1706497200,2268.77,2278.19,2268.76,2272.11,8889.9623
1706500800,2272.11,2274.23,2266.58,2268.5,5794.2673
1706504400,2268.5,2270.22,2263.64,2264.61,6120.5665
1706508000,2264.6,2270.33,2264.24,2267.23,6473.7029
1706511600,2267.22,2271.16,2258.28,2259.4,7867.019
1706515200,2259.39,2264.93,2253.98,2263.49,8147.3853
1706518800,2263.49,2273.76,2255.28,2273.76,10277.6521
1706522400,2273.76,2277,2269.66,2275.58,8719.7193
1706526000,2275.58,2276.39,2261.39,2264.17,8335.9154
1706529600,2264.17,2269.31,2255.05,2256,10024.4449
1706533200,2256,2256.4,2238.88,2244.42,20438.7653
1706536800,2244.42,2252.2,2233.8,2244.09,13892.7124
1706540400,2244.09,2275.93,2239.45,2275.8,20997.7753
1706544000,2275.81,2302.43,2265.54,2299.49,44620.3564
1706547600,2299.49,2315.45,2295.94,2302.59,33403.8926
1706551200,2302.59,2312.94,2295.15,2300.13,15572.4488
1706554800,2300.14,2305.01,2292.14,2293.46,10807.2792
1706558400,2293.46,2304.48,2292.21,2302.86,8658.1212
1706562000,2302.86,2311.74,2301,2306.32,11419.7769
1706565600,2306.31,2322.34,2305.95,2311.43,12214.006
1706569200,2311.43,2317.92,2310,2317.6,9498.3605
1706572800,2317.61,2318.36,2304.7,2305.07,8271.3567
1706576400,2305.06,2324.99,2304,2314.71,15647.9355
1706580000,2314.71,2327.97,2314.7,2317.83,12639.8536
1706583600,2317.82,2320,2310.6,2311.4,11223.8476
1706587200,2311.4,2314.69,2308.39,2311.65,7862.7257
1706590800,2311.65,2313.6,2304.41,2304.89,6737.7797
1706594400,2304.9,2309,2301,2304.1,9428.1542
1706598000,2304.1,2314,2302.82,2309.29,9393.8887
1706601600,2309.3,2312.94,2302.82,2308.32,7064.8736
1706605200,2308.31,2309.05,2303.57,2304.39,7337.3771
1706608800,2304.4,2316.34,2303.02,2314.96,8855.4258
1706612400,2314.95,2318.22,2311.11,2314.01,8270.8828
1706616000,2314,2332.85,2299.05,2306.71,43716.5637
1706619600,2306.7,2313.79,2297,2305.73,13544.8693
1706623200,2305.72,2315.57,2298.8,2313.29,13079.8143
1706626800,2313.3,2347.55,2303.33,2340.91,35509.2532
1706630400,2340.91,2369.48,2335.73,2369.25,45735.5983
1706634000,2369.25,2379.79,2364.26,2370.3,30084.7898
1706637600,2370.3,2381,2364.42,2376.73,17567.5748
1706641200,2376.73,2378.28,2369.28,2374.93,8733.8163
1706644800,2374.93,2385,2373.53,2373.72,12721.5143
1706648400,2373.73,2391.98,2370,2380.03,10896.9865
1706652000,2380.02,2381.79,2364.75,2364.96,7418.0901
1706655600,2364.96,2367.93,2337.06,2343.01,21136.6075
1706659200,2343,2351.6,2331.79,2340.43,19716.5778
1706662800,2340.44,2346.46,2327.54,2332.46,12716.0253
1706666400,2332.47,2339.25,2327.27,2338.69,13120.1594
1706670000,2338.68,2344.02,2338.46,2342.91,7356.0072
1706673600,2342.9,2344.55,2336.18,2341.95,10738.3804
1706677200,2341.94,2344.26,2334.37,2338.74,8347.3689
1706680800,2338.74,2341.56,2330.8,2331.91,7113.917
1706684400,2331.92,2342.12,2330,2340.84,6882.6904
1706688000,2340.84,2343.52,2335.45,2339.08,8002.6683
1706691600,2339.08,2339.09,2309.19,2311.2,22082.9386
1706695200,2311.2,2313.72,2281.6,2284,31483.0586
1706698800,2284.01,2300.45,2280.77,2300.18,19376.8607
1706702400,2300.18,2307.48,2296.89,2304.56,12556.3259
1706706000,2304.57,2318.14,2298.69,2312.87,14985.2243
1706709600,2312.87,2314.6,2298.44,2307.4,16809.5184
1706713200,2307.4,2333,2291.69,2329.42,30993.0268
1706716800,2329.42,2347.18,2324.99,2345.91,23706.1655
1706720400,2345.92,2350.3,2337.72,2347.27,17837.887
1706724000,2347.28,2348.05,2330.07,2335.63,18814.1123
1706727600,2335.63,2342.26,2309.51,2323.38,24021.4883
1706731200,2323.39,2324.67,2286.11,2287.98,27445.8322
1706734800,2287.98,2292.37,2263.57,2279,23011.2819
1706738400,2278.99,2287.94,2269.03,2285.75,10362.1665
1706742000,2285.75,2288.91,2281.88,2283.14,9636.5042
1706745600,2283.15,2289.6,2272.19,2283.59,11095.2307
1706749200,2283.6,2284.3,2240,2245.19,32855.7491
1706752800,2245.19,2260.5,2242.99,2260.5,13893.8266
1706756400,2260.49,2263.17,2256.25,2257.21,10254.354
1706760000,2257.2,2267.59,2251.91,2262.77,12842.205
1706763600,2262.77,2268.87,2262,2268.8,7882.3581
1706767200,2268.81,2274.5,2268.36,2274.5,18058.5725
1706770800,2274.49,2277.78,2271.6,2271.96,9895.5508
1706774400,2271.95,2273.44,2266.4,2272.41,8897.5893
1706778000,2272.4,2275.85,2265.2,2267.84,8325.9949
1706781600,2267.85,2278.12,2266.12,2267.91,8897.5897
1706785200,2267.91,2272.92,2265.4,2266.66,7741.3858
1706788800,2266.67,2274.62,2263.2,2270.83,11089.1782
1706792400,2270.83,2277.54,2263.59,2272.09,12710.8786
1706796000,2272.08,2300.45,2270.15,2297.12,24229.8194
1706799600,2297.13,2308.45,2287.89,2288.88,23064.2286
1706803200,2288.89,2293.59,2267.54,2292.07,18999.5234
1706806800,2292.07,2311.72,2291.25,2304.71,21878.4762
1706810400,2304.7,2307.99,2293.07,2295.94,11310.4255
1706814000,2295.93,2309.49,2291.75,2304.79,9162.2689
1706817600,2304.79,2307,2296.2,2299.46,6648.299
1706821200,2299.46,2309.78,2297.06,2304.36,8624.9891
1706824800,2304.35,2304.62,2287,2297.05,6196.8443
1706828400,2297.04,2304.85,2294.75,2304.28,6442.1161
1706832000,2304.28,2320.48,2300.7,2310.92,13001.6074
1706835600,2310.93,2317.76,2306.42,2306.61,7202.2726
1706839200,2306.62,2307.82,2298.54,2302.32,8348.4748
1706842800,2302.32,2305.2,2301.1,2301.66,5214.7969
1706846400,2301.66,2305,2296.87,2298.34,7204.5097
1706850000,2298.35,2307.23,2296.87,2305.17,7630.8136
1706853600,2305.18,2314.6,2304.23,2310.46,9160.7714
1706857200,2310.46,2319.81,2308.4,2313.73,16608.7268
1706860800,2313.73,2314.95,2306,2310.54,7891.3066
1706864400,2310.54,2313.8,2307.49,2309.89,6133.6481
1706868000,2309.89,2312.82,2305.01,2311.85,9298.5833
1706871600,2311.86,2319.37,2309.63,2318.36,7641.1711
1706875200,2318.36,2324.74,2313.96,2314.79,11879.9095
1706878800,2314.79,2316.03,2289.04,2292.02,22920.0328
1706882400,2292.02,2298.25,2281.94,2292.4,13694.3
1706886000,2292.41,2317.58,2291.2,2313.99,19609.8824
1706889600,2314,2323.88,2301.29,2306.06,17203.5751
1706893200,2306.07,2311.83,2290,2292.92,11550.461
1706896800,2292.93,2296.62,2286.69,2294.83,9712.0139
1706900400,2294.84,2301.61,2293.23,2301.41,7949.936
