time,open,high,low,close,Volume
1709955000,3921.96,3928.44,3919.01,3923.21,3720.865
1709956800,3923.22,3928.26,3918.28,3925.69,3505.5674
1709958600,3925.7,3931.39,3920.26,3925.55,3982.9117
1709960400,3925.55,3927.79,3912.05,3922.14,4186.7385
1709962200,3922.13,3922.97,3914.14,3918.41,4101.0583
1709964000,3918.4,3927.45,3917.51,3923.2,4595.6089
1709965800,3923.2,3940,3922.99,3937.97,6582.3727
1709967600,3937.98,3942,3931.7,3933.81,5340.1172
1709969400,3933.81,3935.51,3925.4,3925.47,4037.4587
1709971200,3925.46,3935.34,3925.46,3934.49,3906.8868
1709973000,3934.49,3936,3922.68,3922.89,5143.6046
1709974800,3922.88,3930.6,3922.88,3927.79,3895.9707
1709976600,3927.8,3927.88,3906.86,3919.79,7926.4296
1709978400,3919.79,3920,3887.99,3897.5,11078.2198
1709980200,3897.51,3910.94,3896.73,3906.86,6632.6137
1709982000,3906.85,3915.46,3905.2,3913.01,4128.1753
1709983800,3913,3917.81,3904.44,3912.49,5137.8233
1709985600,3912.5,3913.25,3901.62,3901.63,5970.673
1709987400,3901.62,3919.73,3901.62,3917.91,4487.2766
1709989200,3917.9,3919.26,3910.37,3917.76,4491.754
1709991000,3917.76,3927.05,3915.17,3916.42,7291.3165
1709992800,3916.42,3924.64,3914.6,3918.5,4648.3175
1709994600,3918.5,3922.94,3907.31,3909.06,5833.2276
1709996400,3909.07,3916.78,3905.82,3915.87,4319.1835
1709998200,3915.87,3921.57,3912.98,3916.66,3166.8139
1710000000,3916.66,3920.22,3900,3904.03,8426.2713
1710001800,3904.03,3904.03,3874.08,3884.44,14939.4309
1710003600,3884.45,3890.6,3870.01,3879.99,9080.8488
1710005400,3879.99,3894.11,3876.04,3883.07,6131.8509
1710007200,3883.07,3893.21,3878.41,3884.4,4173.6946
1710009000,3884.4,3893.4,3883.18,3889.37,6091.6641
1710010800,3889.36,3891.76,3883.64,3887.84,4553.1291
1710012600,3887.85,3889.78,3878.02,3881.18,4056.5474
1710014400,3881.18,3892.26,3881.17,3890.3,3935.5746
1710016200,3890.31,3900.75,3890.3,3900.68,2888.6699
1710018000,3900.67,3903.26,3892.1,3895.35,2997.1287
1710019800,3895.35,3907.64,3895.35,3904.2,3030.3412
1710021600,3904.19,3912,3900.21,3904.08,3887.1551
1710023400,3904.08,3907.53,3896.32,3901.08,3025.2401
1710025200,3901.07,3912.68,3898.39,3903,5947.7661
1710027000,3902.99,3908.92,3898,3905.21,4302.205
1710028800,3905.2,3916.78,3899.51,3914.19,5914.7301
1710030600,3914.18,3917.19,3901.86,3908.65,6542.0655
1710032400,3908.66,3940.1,3907.68,3926.64,14406.2475
1710034200,3926.64,3933.97,3916.83,3929.47,7391.564
1710036000,3929.48,3936.01,3925.68,3929.53,4305.6666
1710037800,3929.53,3938.64,3921,3921.68,3890.8965
1710039600,3921.68,3936.11,3910.96,3934.36,5882.5248
1710041400,3934.36,3937.87,3929.1,3935,3584.3338
1710043200,3935.01,3950,3931.89,3938.79,11703.8819
1710045000,3938.79,3949.8,3934.93,3940.65,5092.6561
1710046800,3940.65,3948.65,3936.57,3945.3,3717.1022
1710048600,3945.29,3946.27,3934,3938.84,3951.4919
1710050400,3938.83,3940,3929.79,3932.14,3172.954
1710052200,3932.15,3947.81,3931.15,3942.99,3127.2197
1710054000,3943,3945.77,3937.99,3942.59,3696.1534
1710055800,3942.6,3949.46,3940.22,3944.82,4243.287
1710057600,3944.81,3950,3940.35,3943.2,4457.4121
1710059400,3943.19,3964.67,3940,3959.16,6129.7269
1710061200,3959.15,3959.2,3926.7,3934.02,9362.3727
1710063000,3934.03,3955.6,3920.02,3945.57,15170.2726
1710064800,3945.56,3955.88,3942.4,3944.59,7525.114
1710066600,3944.59,3949.11,3932.02,3938.27,6758.1339
1710068400,3938.26,3943.68,3933.02,3935.6,5626.2404
1710070200,3935.6,3936.69,3926.47,3932.72,5427.8837
1710072000,3932.72,3947.18,3932.12,3937.93,4760.9865
1710073800,3937.94,3938.81,3911.98,3927.46,11769.3943
1710075600,3927.46,3931.4,3921.01,3921.02,4754.7806
1710077400,3921.02,3926.6,3886.32,3898.59,14940.7778
1710079200,3898.59,3911.57,3892.66,3905.79,10165.3334
1710081000,3905.79,3907.66,3860.65,3896.83,20511.3427
1710082800,3896.84,3903.23,3874.35,3899.44,11163.498
1710084600,3899.45,3900.81,3880.49,3883.69,7409.5746
1710086400,3883.7,3918.15,3882.06,3912.12,12640.1142
1710088200,3912.12,3927.05,3903,3904.55,8423.7265
1710090000,3904.55,3914.12,3900,3903.48,4934.7897
1710091800,3903.47,3916.24,3900.87,3912.04,4509.0007
1710093600,3912.03,3918,3903.8,3912.61,3691.4092
1710095400,3912.61,3912.61,3893.12,3893.31,6419.2921
1710097200,3893.31,3900,3888.85,3897.16,4482.7352
1710099000,3897.17,3902.13,3895,3898,3349.5561
1710100800,3898.01,3903.89,3893.6,3894.47,3164.6753
1710102600,3894.48,3900.37,3892.21,3900.37,2580.3755
1710104400,3900.36,3903.4,3884.63,3885.75,4312.6169
1710106200,3885.75,3891.66,3875,3880.55,2843.7024
1710108000,3880.54,3882.17,3832.95,3845.56,18341.8457
1710109800,3845.56,3850.58,3791.26,3823.7,21428.9958
1710111600,3823.71,3867.49,3819.48,3861.01,12227.457
1710113400,3861.01,3884.05,3856.6,3878.47,6758.7685
1710115200,3878.47,3888.38,3861.66,3863.4,9603.4384
1710117000,3863.39,3869.4,3722.95,3827.6,28697.6168
1710118800,3827.59,3840.5,3805.59,3815.28,16277.5841
1710120600,3815.28,3819.21,3778.21,3818.44,15347.5548
1710122400,3818.43,3838.92,3814.41,3835.47,10767.7538
1710124200,3835.47,3843.6,3825.53,3835.21,8840.6534
1710126000,3835.21,3865.14,3833.8,3862.59,8650.4021
1710127800,3862.59,3867.6,3849.16,3866.93,6475.8424
1710129600,3866.92,3878.17,3857.6,3861.39,6541.2817
