date,Open,High,Low,Close,volume
1694721600000,26678.13,26723.64,26473.0,26534.84,1693.68095
1694728800000,26534.84,26628.76,26497.07,26522.73,1299.29777
1694736000000,26522.73,26560.0,26448.19,26502.66,1543.99162
1694743200000,26502.66,26624.52,26502.65,26615.39,1414.72373
1694750400000,26615.4,26655.84,26575.0,26588.99,1257.74546
1694757600000,26588.98,26609.88,26550.99,26565.69,1505.69776
1694764800000,26565.69,26690.0,26540.61,26613.78,1830.34222
1694772000000,26613.78,26657.84,26375.01,26425.16,3094.50271
1694779200000,26425.17,26526.99,26334.13,26364.97,3254.42383
1694786400000,26364.97,26416.89,26224.0,26321.21,3551.46555
1694793600000,26321.2,26388.36,26315.02,26338.5,1495.46423
1694800800000,26338.51,26444.45,26331.97,26397.38,1353.8956
1694808000000,26397.38,26506.26,26373.21,26469.14,1597.65887
1694815200000,26469.14,26888.0,26469.13,26600.0,4327.38211
1694822400000,26599.99,26694.18,26571.42,26653.31,1600.92415
1694829600000,26653.3,26777.0,26604.75,26616.43,1743.56564
1694836800000,26616.44,26621.36,26515.0,26537.76,1680.09035
1694844000000,26537.76,26537.77,26467.45,26494.5,1226.00077
1694851200000,26494.5,26581.98,26470.91,26501.44,1205.6802
1694858400000,26501.44,26550.0,26445.0,26524.09,1200.8801
1694865600000,26524.08,26576.38,26500.32,26550.65,927.4508
1694872800000,26550.66,26560.16,26481.87,26507.12,1205.98482
1694880000000,26507.12,26622.22,26496.14,26566.98,1162.74086
1694887200000,26566.98,26622.15,26505.4,26532.8,886.9411
1694894400000,26532.79,26579.99,26526.15,26570.01,579.29552
1694901600000,26570.01,26573.89,26507.0,26559.67,541.3792
1694908800000,26559.67,26559.68,26416.16,26496.35,1691.51063
1694916000000,26496.34,26535.24,26490.89,26529.25,1018.82496
1694923200000,26529.25,26570.0,26508.96,26543.79,741.37459
1694930400000,26543.79,26547.37,26490.88,26495.93,784.63038
1694937600000,26495.94,26582.05,26493.13,26578.69,1202.16846
1694944800000,26578.7,26623.25,26566.67,26566.67,1150.97198
1694952000000,26566.68,26583.46,26527.4,26543.94,773.90028
1694959200000,26543.94,26600.0,26525.28,26549.98,1425.81345
1694966400000,26549.98,26551.0,26480.0,26480.0,1149.22382
1694973600000,26480.01,26520.76,26464.64,26505.15,710.18011
1694980800000,26505.14,26505.15,26399.0,26484.92,1530.98398
1694988000000,26484.91,26534.09,26438.61,26527.51,818.52013
1694995200000,26527.5,26553.56,26377.35,26462.63,1918.84447
1695002400000,26462.63,26750.0,26458.63,26658.66,3251.77044
1695009600000,26658.66,26680.0,26567.09,26647.45,1271.46954
1695016800000,26647.45,26800.0,26622.77,26710.67,1692.52461
1695024000000,26710.67,26945.55,26684.02,26872.31,3951.21616
1695031200000,26872.3,27240.0,26872.3,27196.98,7015.74896
1695038400000,27196.98,27409.0,27151.0,27255.21,6917.99042
1695045600000,27255.22,27357.0,27130.0,27269.42,3425.14663
1695052800000,27269.43,27310.0,26669.94,26760.49,6942.91325
1695060000000,26760.48,26943.83,26631.0,26814.79,3763.68749
1695067200000,26814.78,26846.76,26732.23,26839.13,1432.70799
1695074400000,26839.13,26881.45,26728.0,26762.51,1416.4126
1695081600000,26762.5,26787.56,26667.79,26699.99,1784.01056
1695088800000,26700.0,26840.67,26684.79,26818.42,1329.81972
1695096000000,26818.41,26860.0,26793.77,26796.26,1010.27467
1695103200000,26796.26,26874.73,26750.88,26847.21,1429.62984
1695110400000,26847.21,27466.0,26847.21,27288.96,5920.05663
1695117600000,27288.95,27314.7,27050.02,27237.56,3706.73475
1695124800000,27237.57,27288.0,26917.84,26968.77,4763.44678
1695132000000,26968.78,27480.0,26881.37,27422.24,6773.3832
1695139200000,27422.24,27483.57,27079.68,27133.88,4224.60056
1695146400000,27133.88,27204.99,27069.9,27185.44,2413.46088
1695153600000,27185.43,27212.5,26990.01,27157.97,1906.26192
1695160800000,27157.98,27222.81,27091.53,27210.26,928.84236
1695168000000,27210.25,27349.91,27146.01,27345.77,1740.30242
1695175200000,27345.77,27388.63,27085.0,27119.48,2778.27975
1695182400000,27119.48,27159.91,27007.0,27025.0,1958.13476
1695189600000,27024.99,27142.03,26936.79,27105.62,3039.02253
1695196800000,27105.61,27197.66,26950.83,27055.38,3077.48653
1695204000000,27055.38,27119.06,26950.0,27098.08,2172.52128
1695211200000,27098.07,27199.31,26997.94,27160.09,2784.6479
1695218400000,27160.1,27237.87,27051.23,27180.63,3451.62797
1695225600000,27180.62,27277.36,27140.05,27195.12,2363.63218
1695232800000,27195.13,27300.0,26800.0,26930.61,6614.98042
1695240000000,26930.62,27241.31,26921.7,27111.16,2565.57674
1695247200000,27111.16,27155.59,27051.22,27125.0,1661.00619
1695254400000,27125.01,27159.6,26979.28,27029.54,2140.44725
1695261600000,27029.55,27056.21,26936.66,27035.0,1573.63742
1695268800000,27034.99,27103.17,26991.06,27071.02,1295.64535
1695276000000,27071.03,27073.09,26979.92,26990.11,1598.30894
1695283200000,26990.11,27017.0,26689.84,26747.3,4044.26703
1695290400000,26747.3,26799.6,26618.9,26730.78,4206.91459
1695297600000,26730.77,26776.98,26380.0,26419.86,7773.17767
1695304800000,26419.87,26659.12,26377.7,26584.02,5253.35557
1695312000000,26584.01,26696.6,26545.82,26651.55,2522.22013
1695319200000,26651.56,26687.35,26555.68,26599.95,1757.0264
1695326400000,26599.95,26621.57,26497.94,26613.67,1370.60525
1695333600000,26613.68,26617.58,26550.0,26568.08,941.22102
1695340800000,26568.08,26670.13,26468.77,26630.22,2189.09656
1695348000000,26630.22,26644.77,26550.65,26627.77,1264.30982
1695355200000,26627.77,26670.15,26609.13,26666.23,1144.63036
1695362400000,26666.23,26705.46,26573.93,26674.8,1831.42913
1695369600000,26674.8,26743.38,26620.41,26635.84,1816.38385
1695376800000,26635.84,26656.59,26590.0,26640.26,1304.02293
1695384000000,26640.26,26653.12,26556.6,26609.99,1656.15792
1695391200000,26610.0,26698.29,26590.0,26631.01,2250.54749
1695398400000,26631.01,26644.98,26531.01,26576.22,1505.47983
1695405600000,26576.22,26635.73,26532.24,26540.1,1154.42237
1695412800000,26540.1,26575.58,26488.0,26569.07,1133.49151
1695420000000,26569.07,26597.96,26545.17,26580.14,948.25743
1695427200000,26580.14,26614.98,26559.37,26579.99,873.22348
1695434400000,26579.99,26583.31,26524.59,26532.2,866.32426
1695441600000,26532.21,26555.0,26509.0,26542.46,579.77354
1695448800000,26542.46,26586.75,26541.67,26585.31,1218.21463
1695456000000,26585.32,26594.78,26554.49,26573.87,684.34259
1695463200000,26573.88,26581.9,26556.74,26575.21,552.3322
1695470400000,26575.21,26588.5,26556.74,26575.13,726.25712
1695477600000,26575.13,26585.06,26546.2,26581.55,1288.52265
1695484800000,26581.55,26610.0,26559.83,26598.31,885.76513
1695492000000,26598.31,26632.81,26597.01,26610.09,713.85796
1695499200000,26610.09,26612.61,26561.38,26568.8,528.26356
1695506400000,26568.8,26580.82,26558.07,26575.96,523.82548
1695513600000,26575.97,26588.15,26558.85,26584.4,474.34824
1695520800000,26584.41,26590.01,26565.19,26570.93,402.97643
1695528000000,26570.93,26573.7,26550.0,26557.99,837.74801
1695535200000,26557.99,26563.44,26549.31,26563.44,730.7661
1695542400000,26563.43,26611.8,26563.43,26589.08,775.73379
1695549600000,26589.08,26605.22,26574.91,26596.71,650.38114
1695556800000,26596.71,26628.8,26585.9,26588.77,807.83887
1695564000000,26588.76,26592.56,26563.8,26578.06,874.98058
1695571200000,26578.06,26719.63,26563.17,26673.07,1291.80219
1695578400000,26673.07,26738.54,26335.81,26449.17,4893.61745
1695585600000,26449.18,26521.67,26400.81,26519.35,1228.78628
1695592800000,26519.35,26519.36,26122.08,26248.38,2737.67863
1695600000000,26248.39,26343.1,26000.0,26164.01,4728.94646
1695607200000,26164.0,26252.8,26154.95,26157.45,1484.23745
1695614400000,26157.44,26195.44,26077.0,26113.81,1325.79674
1695621600000,26113.81,26192.28,26040.12,26189.21,1841.6978
1695628800000,26189.21,26233.43,26048.95,26063.09,1916.8855
1695636000000,26063.08,26116.23,26020.01,26075.41,1608.93127
1695643200000,26075.4,26190.91,25990.46,26161.62,2800.16594
1695650400000,26161.62,26300.0,26116.93,26243.72,2648.59464
1695657600000,26243.73,26425.63,26222.32,26358.41,3890.87669
1695664800000,26358.41,26389.09,26269.59,26331.83,1783.74177
1695672000000,26331.84,26446.15,26263.83,26279.61,1615.91579
1695679200000,26279.61,26316.27,26270.0,26304.81,620.41385
1695686400000,26304.8,26307.73,26234.37,26297.6,1178.07576
1695693600000,26297.6,26397.46,26285.0,26353.87,1444.15402
1695700800000,26353.87,26363.84,26307.67,26320.9,792.73687
1695708000000,26320.91,26339.06,26253.64,26272.01,1143.71202
1695715200000,26272.0,26334.75,26226.54,26272.07,1516.4431
1695722400000,26272.07,26288.98,26188.26,26273.83,1607.11
1695729600000,26273.82,26306.39,26142.07,26181.55,2335.07398
1695736800000,26181.55,26214.99,26088.34,26126.66,2618.19646
1695744000000,26126.66,26295.99,26115.0,26175.01,2103.21257
1695751200000,26175.0,26275.72,26144.96,26247.7,1306.99825
1695758400000,26247.7,26288.68,26100.0,26165.4,1491.46396
1695765600000,26165.39,26240.0,26150.08,26221.67,958.17367
1695772800000,26221.68,26265.0,26202.96,26260.27,1142.988
1695780000000,26260.27,26289.5,26220.4,26278.04,761.54437
1695787200000,26278.03,26289.0,26231.74,26255.89,866.99338
1695794400000,26255.89,26271.3,26236.74,26246.34,871.94424
1695801600000,26246.35,26404.0,26223.72,26397.79,2499.29241
1695808800000,26397.79,26848.07,26356.05,26766.7,7941.06919
1695816000000,26766.69,26850.0,26536.86,26621.54,5455.79824
1695823200000,26621.54,26633.71,26169.38,26304.42,8085.48183
1695830400000,26304.42,26313.79,26158.63,26231.39,2274.04675
1695837600000,26231.39,26294.82,26112.06,26267.8,2145.6829
1695844800000,26267.81,26304.14,26226.91,26279.94,1294.03059
1695852000000,26279.94,26385.0,26279.93,26372.99,1432.70788
1695859200000,26373.0,26557.75,26349.75,26451.46,2802.8574
1695866400000,26451.46,26533.32,26342.4,26379.15,1631.9012
1695873600000,26379.15,26486.85,26347.17,26449.95,1569.35471
1695880800000,26449.96,26513.46,26405.44,26459.99,2116.60599
1695888000000,26459.99,26469.51,26389.29,26428.69,1499.43114
1695895200000,26428.69,26623.84,26415.52,26476.93,3339.07167
1695902400000,26476.93,26584.87,26460.0,26580.69,2729.9861
1695909600000,26580.7,27064.0,26555.09,27020.0,10764.27555
1695916800000,27019.99,27308.48,27019.99,27160.13,8754.12524
1695924000000,27160.14,27231.94,26848.71,27100.0,5447.60047
