time,open,high,low,close,Volume
1699005600,1789.3,1790.74,1780.61,1789.65,23510.4396
1699012800,1789.65,1808.81,1784.78,1807.78,24935.366
1699020000,1807.79,1813.71,1801.36,1813.01,34277.1985
1699027200,1813,1819.26,1799.72,1806.2,56174.1459
1699034400,1806.2,1823.93,1802.56,1816.98,23738.2559
1699041600,1816.98,1832,1814.69,1826.76,23572.0852
1699048800,1826.75,1834.58,1824.88,1832.71,15222.112
1699056000,1832.7,1836.03,1824.03,1834.96,15726.5884
1699063200,1834.96,1839.77,1830.3,1834.73,18110.5457
1699070400,1834.73,1835.14,1825.59,1830.89,11618.1013
1699077600,1830.88,1839.95,1830.83,1833.94,18788.8219
1699084800,1833.94,1847.58,1830.76,1839.08,17467.9672
1699092000,1839.07,1847.36,1835.54,1837.49,14070.3323
1699099200,1837.49,1841.03,1831.24,1835.5,12883.9351
1699106400,1835.49,1837,1828.06,1831.77,10760.9556
1699113600,1831.77,1839.19,1831.16,1839.01,8127.0363
1699120800,1839.01,1840.46,1834.89,1835.57,6591.3165
1699128000,1835.57,1847,1834.35,1842.3,6274.7427
1699135200,1842.31,1869.9,1842.3,1855.54,31117.6934
1699142400,1855.54,1857.26,1846.11,1854.65,18017.839
1699149600,1854.64,1894,1846.52,1888.58,43152.8293
1699156800,1888.59,1894.18,1877.41,1886.71,35498.3078
1699164000,1886.72,1887.7,1875.15,1884.66,29889.897
1699171200,1884.66,1896.55,1877.5,1888.91,25908.6806
1699178400,1888.91,1894,1882.69,1887.88,18936.1182
1699185600,1887.88,1900,1864.41,1870.51,47975.8196
1699192800,1870.52,1880.87,1866.9,1874.35,28114.3074
1699200000,1874.36,1912.67,1872.08,1900.07,48686.7506
1699207200,1900.07,1904.8,1886.71,1888.3,20958.4745
1699214400,1888.29,1894.16,1855.45,1867.54,29769.0004
1699221600,1867.55,1910.55,1866.6,1891.71,36198.7384
1699228800,1891.71,1899.98,1883.74,1885.71,20558.0966
1699236000,1885.7,1890.36,1880.46,1887.21,17277.4927
1699243200,1887.2,1889.84,1868.48,1874.39,44820.4385
1699250400,1874.38,1881.08,1872.18,1878.34,12625.6782
1699257600,1878.35,1889.9,1873.12,1887.89,15862.2936
1699264800,1887.89,1898.99,1886.68,1898.71,22171.5838
1699272000,1898.72,1911.13,1887.98,1897,44994.3549
1699279200,1897,1914.23,1896.77,1901.26,47279.0518
1699286400,1901.25,1903.28,1885.45,1897,36422.4202
1699293600,1896.99,1904,1885.83,1901.73,19056.5657
1699300800,1901.73,1902.58,1881.72,1892.28,26146.2208
1699308000,1892.28,1907.23,1892.08,1900.95,21532.0426
1699315200,1900.95,1903.84,1885,1893.47,29080.267
1699322400,1893.48,1895.93,1878,1890.11,24286.4801
1699329600,1890.11,1896.52,1885.54,1894.51,15272.0812
1699336800,1894.51,1895.88,1886.66,1891.84,13589.6005
1699344000,1891.85,1894.98,1874.17,1874.96,27684.6405
1699351200,1874.97,1880.13,1867.01,1873.39,33730.0962
1699358400,1873.4,1880.09,1866,1873.31,21558.9767
1699365600,1873.3,1878.8,1858,1863.1,34150.1888
1699372800,1863.09,1874.2,1850.32,1873.16,32839.6474
1699380000,1873.17,1900,1872.86,1894.22,46417.827
1699387200,1894.22,1906.99,1890.89,1891.99,25238.7908
1699394400,1891.99,1892.42,1872.72,1885.27,28570.8444
1699401600,1885.26,1893,1880,1888.3,13161.9782
1699408800,1888.31,1892.24,1879.61,1881.98,12584.0113
1699416000,1881.97,1886.43,1876.68,1879.07,14571.8179
1699423200,1879.07,1880.62,1872.51,1875.01,13793.2501
1699430400,1875.02,1885.61,1873.52,1884.29,17836.0176
1699437600,1884.29,1889.08,1880.88,1880.89,19225.8174
1699444800,1880.88,1889.76,1880.88,1889.01,13989.7489
1699452000,1889.01,1892.49,1880,1889.12,24539.98
1699459200,1889.12,1902.01,1886.7,1892.3,31249.5633
